Date,Sales
2023-01-01,18200
2023-02-01,17650
2023-03-01,19400
2023-04-01,20100
2023-05-01,21500
2023-06-01,22800
2023-07-01,21900
2023-08-01,23100
2023-09-01,24500
2023-10-01,25200
2023-11-01,28900
2023-12-01,32100
2024-01-01,20500
2024-02-01,19800
2024-03-01,21700
2024-04-01,22400
2024-05-01,24100
2024-06-01,25500
2024-07-01,24900
2024-08-01,26100
2024-09-01,27600
2024-10-01,28700
2024-11-01,32400
2024-12-01,36200
2025-01-01,23100
2025-02-01,22400
2025-03-01,24600
2025-04-01,25400
2025-05-01,27200
2025-06-01,28900
2025-07-01,28100
2025-08-01,29500
2025-09-01,31200
2025-10-01,32500
2025-11-01,36600
2025-12-01,40800
